,sizex,sizey,total_size,goalx,goaly,startx,starty,loop,pattern,DFS-Effi,BFS-Effi,A*-Effi,Bi-Effi,dijkstra-Effi,GBest-Effi,Best-Effi
0,60,43,2580,12,6,40,12,66,h,1.985119198258845,2.0632233156166264,1.9964220730337803,1.9832025185440747,2.14701010027682,1.9786579313083186,GBest-Effi
1,13,71,923,6,33,2,13,4,v,1.992002358278969,1.9963724396492601,2.001374324694216,1.9935300725126617,2.0139858824866765,1.9908673219598538,GBest-Effi
2,40,70,2800,18,49,28,34,87,v,1.9983115216833462,1.9976617906982779,1.965059963099631,1.971988801850451,2.0808433953985332,1.9664961636828644,A*-Effi
3,44,39,1716,17,29,18,21,50,h,1.9950137741046832,1.933350622406639,1.9071969696969697,1.9312754804892254,1.9574031825512246,1.8990384615384617,GBest-Effi
4,27,42,1134,10,31,23,8,29,v,1.9957671130021275,1.997682346562636,1.9818848316606164,1.983141954377312,2.0255770506931325,1.9873866477590774,A*-Effi
5,23,30,690,8,25,16,28,62,v,1.9948803313197878,1.9095238095238094,1.8863636363636362,1.9095634095634098,1.9094202898550723,1.9017857142857144,A*-Effi
6,29,38,1102,5,5,17,29,98,v,1.9682282003710574,2.002449677887878,1.9710643015521065,1.9750263318365762,2.0039053186645726,1.9653805496828753,GBest-Effi
7,12,44,528,11,9,6,43,4,h,1.9894968366943457,1.9984991762903506,1.9901819923371646,1.9900639345980506,1.9985073879071478,1.9890232974910393,GBest-Effi
8,98,57,5586,68,33,14,10,93,v,1.9992531199566348,2.2279187826128224,1.996910186155731,1.9870368941031185,2.4208741204958155,1.9813532651455548,GBest-Effi
9,47,37,1739,15,36,36,36,34,h,1.9963242428313406,2.0329785416844413,1.992253037463186,1.9899853092864064,2.0612027085688536,2.005522943633389,Bi-Effi
10,16,77,1232,13,50,10,51,67,v,1.8563311688311688,1.7743589743589743,1.709090909090909,1.75,1.7696969696969698,1.709090909090909,A*-Effi
11,42,76,3192,33,27,4,60,59,h,1.9983828962920067,2.096805095600901,1.9951354034001476,1.986005022836992,2.180729656927215,1.9892047116381717,Bi-Effi
12,98,79,7742,51,25,87,37,35,h,1.9993211730689415,2.2207633041121295,2.0057242490155,1.9978185392560328,2.588454489422571,2.0005902544688845,Bi-Effi
13,23,61,1403,13,15,16,56,91,v,1.9940226596286976,2.0202048824251304,1.9825669217244881,1.9836197129909365,2.0457041451765057,1.9797426534515736,GBest-Effi
14,85,53,4505,7,48,37,42,34,v,1.9989419158747384,2.0917265908698757,1.9822799203802015,1.9878443357541775,2.2955510501453595,1.9757985085127339,GBest-Effi
15,56,85,4760,46,32,6,28,78,v,1.9985342663109504,2.0318459139924023,1.9681623931623933,1.9771902057536543,2.2631858973862338,1.9673967147834743,GBest-Effi
16,23,52,1196,15,9,8,50,8,h,1.9925492412011625,2.022124729341553,2.001233830622091,1.9917040182432963,2.030118747827972,1.9893823464182745,GBest-Effi
17,17,53,901,11,19,12,2,8,h,1.9943780266343825,2.005695601500401,1.9888748461768717,1.9879783098015142,2.004402382496687,2.0059569084627986,Bi-Effi
18,71,45,3195,42,34,70,25,61,h,1.9987528558552894,2.0279640897816895,1.9900273693167292,1.9843697181549582,2.1376091605936547,1.976445123503947,GBest-Effi
19,66,15,990,47,8,4,7,9,v,1.9961586208511934,2.009996231158336,2.0054193599704138,1.9943953368490015,2.0201047883099092,1.9938578883982336,GBest-Effi
20,96,42,4032,57,7,49,19,44,h,1.9946706335090385,1.9881652175077136,1.9700854700854702,1.9730039920159679,2.129179412327882,1.9816169474933634,A*-Effi
21,90,46,4140,33,16,86,11,75,v,1.9973471074380167,2.076287737671832,1.9763072873040564,1.9832962550982574,2.252723127260889,1.9762250693435477,GBest-Effi
22,71,19,1349,50,13,29,6,93,h,1.9973467548708888,1.9833308950758715,1.9643206256109482,1.9690059568131049,2.011571595139997,1.9662178702570379,A*-Effi
23,85,98,8330,60,29,43,7,34,v,1.9989476834811404,2.0562251837398926,2.000535485222192,1.98648107211937,2.456951348407695,1.9854639969195227,GBest-Effi
24,62,29,1798,49,5,42,13,21,h,1.9970712945396492,1.971233230134159,1.9764979281487147,1.9698544698544698,2.001351308932197,1.9641422834193918,GBest-Effi
25,44,35,1540,17,24,28,18,42,v,1.996846772416832,1.9778867863914877,1.9737305802067013,1.9681605975723624,2.0149582039087135,1.9618421052631578,GBest-Effi
26,22,24,528,19,16,16,6,83,v,1.99008658008658,1.941588294933569,1.9147727272727273,1.935328517371861,1.9418829040860817,1.9089285714285715,GBest-Effi
27,99,84,8316,21,53,22,74,84,v,1.9993978098661245,2.0325534245462893,1.9903504865580544,1.9774951727811438,2.342947655012919,1.9735563178959405,GBest-Effi
28,51,82,4182,22,39,42,68,75,v,1.9759716386554622,2.0726822755568772,1.9795090948937104,1.9960289810205607,2.209875219822177,1.9797297297297298,DFS-Effi
29,48,52,2496,22,47,21,9,13,h,1.9960289113339544,2.0129900278404214,1.993391114529651,1.9858256555634304,2.118051274827299,1.9810529845741114,GBest-Effi
30,55,34,1870,25,8,24,11,33,v,1.9724370672923728,1.9682154882154883,1.965598609041232,1.9644906743185078,2.0278804893846605,1.963949843260188,GBest-Effi
31,23,100,2300,23,17,10,97,64,v,1.9955004205214466,2.06794381680531,2.004211072798542,1.995871016695113,2.098736510053701,1.9904660129075518,GBest-Effi
32,91,85,7735,85,68,54,40,64,v,1.9995130476395417,2.3370056050172,1.9994190937668581,1.9854584545665217,2.5678574713125224,1.984753407196784,GBest-Effi
33,35,53,1855,21,29,19,33,6,v,1.996129869397196,2.0200914211415153,1.9907129987129988,1.9901179667716633,2.060792270326002,1.9883768115942029,GBest-Effi
34,60,38,2280,23,28,29,37,24,v,1.9978682663395515,1.9926981317788646,1.9771640421329848,1.9763450834879406,2.0373227500118807,1.9730085778043152,GBest-Effi
35,12,36,432,9,28,7,26,78,h,1.9884503911612805,1.876068376068376,1.8518518518518516,1.8411764705882354,1.877899877899878,1.8504273504273505,Bi-Effi
36,56,53,2968,8,16,7,20,0,h,1.997835709319288,2.0759894621217656,2.006922718373302,1.9981020558530997,2.1863090111084453,1.9980422592328453,DFS-Effi
37,29,20,580,10,5,18,18,75,v,1.9821378635346756,1.9650030928455506,1.9524475524475524,1.959217644610903,1.9685656497404656,1.9502732240437157,GBest-Effi
38,50,86,4300,21,75,5,78,36,h,1.998286317585138,1.9953521862997448,1.979996934396076,1.9811822550005587,2.136888388565864,1.9846055479047806,A*-Effi
39,39,23,897,8,8,33,15,99,v,1.9885166295085974,1.9833258016723647,1.9580690627202255,1.9690208371749955,1.996665083582688,1.9584802193497848,A*-Effi
40,54,85,4590,50,26,1,71,12,v,1.998167537380652,2.2014948399453838,2.0141380813260876,2.0100519506619308,2.343089347255474,1.9974639155542806,GBest-Effi
41,23,10,230,10,9,22,2,63,h,1.9796081567373052,1.9497382530174105,1.9332688588007736,1.9498103297344618,1.9479665071770336,1.9295454545454547,GBest-Effi
42,61,10,610,39,5,43,3,30,h,1.921415793508817,1.8912337662337662,1.8746081504702194,1.8872549019607843,1.890222984562607,1.8873626373626373,A*-Effi
43,78,90,7020,51,44,13,6,33,v,1.9990393237349435,2.1542385423807366,2.005531147728984,1.9985250214986394,2.4741957138839616,1.9906897169116915,GBest-Effi
44,83,82,6806,61,45,75,7,43,v,1.999314229882794,2.2322781278834394,2.0105556885749007,1.9960434950148285,2.4998709846413463,1.9928717948717949,GBest-Effi
45,32,64,2048,11,64,7,22,85,h,1.9984343271559653,2.0406432151708103,1.967734393266308,1.9915706426995647,2.1055798274416966,1.96946414499606,A*-Effi
46,55,31,1705,24,12,10,3,100,h,1.9955631786996229,1.9587496293125768,1.9569407338167033,1.957229916897507,1.9978360600853085,1.957767722473605,A*-Effi
47,91,50,4550,35,11,84,29,25,h,1.9977468724554002,2.136489048911338,2.008788605698663,1.994040684962656,2.3567962632947435,1.9950064905154725,Bi-Effi
48,26,39,1014,10,39,19,28,68,h,1.9960947728071017,1.9698615721935884,1.9361135758651287,1.9537037037037037,1.98377082561646,1.9361135758651287,A*-Effi
49,69,16,1104,20,6,67,2,18,h,1.9954091463174866,2.00805194048835,2.0079825931199906,1.9933427440096658,2.03629983887528,1.9930732203655148,GBest-Effi
50,64,48,3072,10,43,45,38,39,h,1.9984830665293547,2.116560935271469,1.9889106904482365,1.9893729065230152,2.192793848528816,1.9867256637168142,GBest-Effi
51,12,84,1008,8,14,12,2,7,v,1.9800729999013515,1.97879802779741,1.9777804296515218,1.9781238413051538,1.9776185334249532,1.9756065573770492,GBest-Effi
52,51,29,1479,50,13,44,20,60,v,1.989646120941085,1.9335629921259843,1.8990384615384617,1.9316526610644258,1.959496786301802,1.8990384615384617,A*-Effi
53,56,31,1736,49,7,12,31,4,v,1.9959896810506566,2.043891046089238,2.0083170782687714,1.995581972626449,2.0781398632698593,1.996906743526223,Bi-Effi
54,55,38,2090,54,12,55,36,50,v,1.9969898977429377,1.9803505836234632,1.9657543622366571,1.9715888912564812,2.035799003344012,1.9610259826782146,GBest-Effi
55,81,67,5427,56,20,81,8,72,v,1.9983494391897778,1.9864608483304307,1.9727471579306801,1.9727005995662712,2.157686920902549,1.9695332757130508,GBest-Effi
56,65,77,5005,63,51,4,59,19,v,1.9966611963103391,2.045198046439989,1.9878989076890126,1.9878717960095251,2.26223213669003,1.9860372340425534,GBest-Effi
57,24,91,2184,11,34,6,22,36,h,1.9955818038428448,1.9812636114754199,1.9602029914529915,1.9662126491394785,2.0348855953853855,1.9512061403508771,GBest-Effi
58,31,74,2294,10,65,7,39,73,v,1.998455710955711,2.0360110613205697,1.9745807045813337,1.9764532744665195,2.109836735620806,1.9769675925925925,A*-Effi
59,42,88,3696,34,60,5,69,61,h,1.9989527432315404,2.224923510337592,1.9993010379615077,1.9852094901564867,2.4070233677780513,1.9945891547440842,Bi-Effi
60,54,35,1890,34,32,42,28,97,h,1.9979051405168056,1.9298731257208765,1.914814814814815,1.9294354838709677,2.000686779675152,1.9161764705882351,A*-Effi
61,52,16,832,26,12,39,2,48,h,1.9938607497695382,1.981313909126527,1.9636994949494948,1.9667471171895952,2.009735787712227,1.9591914569031275,GBest-Effi
62,45,44,1980,30,29,32,3,74,v,1.9980449252502466,2.055078774773554,1.9854362250791286,1.97911426040744,2.1726403490488613,1.9764123127727327,GBest-Effi
63,75,56,4200,43,6,38,55,15,v,1.9969657612218938,2.394275664838397,2.0393498390798275,1.9993146076759514,2.4894848418422857,2.0262321968889347,DFS-Effi
64,30,93,2790,28,40,22,33,41,v,1.996882230842521,1.9553212851405624,1.9459876543209877,1.9518699186991868,2.0504108663158394,1.935077519379845,GBest-Effi
65,19,45,855,8,25,1,8,97,h,1.9938456303388716,1.9573684210526316,1.9433333333333334,1.958302215583769,2.0005508349084535,1.9466493168510084,A*-Effi
66,77,28,2156,44,21,2,19,33,v,1.9981499488750154,1.9921719692155726,1.9823830830509679,1.9772763074984248,2.119273302256486,1.9697684391080617,GBest-Effi
67,86,34,2924,80,29,86,28,17,v,1.8746580027359783,1.8379629629629628,1.7824647721676756,1.8300653594771241,1.835,1.775,GBest-Effi
68,49,51,2499,21,51,44,11,1,h,1.998371116873592,2.1054089494698434,2.0127906040341985,1.9977411951955286,2.278697434496755,2.012347151969742,Bi-Effi
69,29,47,1363,14,14,13,9,29,v,1.993192009783938,1.9630722536042493,1.9747434107608057,1.9603375527426161,2.0341294520868756,1.952003727865797,GBest-Effi
70,69,97,6693,25,8,56,7,0,h,1.999009154804698,2.5092875888163535,2.0559062317642693,2.0156055407753657,2.72605698116338,2.0281868600907216,DFS-Effi
71,67,58,3886,57,55,2,18,44,v,1.999007386508743,2.4008186894961203,2.0233007774796707,1.9905097298867267,2.4970633284975405,1.9905039202253176,GBest-Effi
72,27,93,2511,5,65,8,20,2,h,1.998453859009632,2.211188142953621,2.0278783270992773,1.9983750071460853,2.3105737819948944,2.013304750205264,Bi-Effi
73,15,20,300,14,11,11,19,36,v,1.9862612612612613,1.935672514619883,1.933054800989164,1.9304192685102586,1.935672514619883,1.9141414141414141,GBest-Effi
74,48,36,1728,38,8,45,17,18,v,1.993984262627972,1.969349784567176,1.9817211094399956,1.9690113133300542,2.0301409517407047,1.9729251700680273,Bi-Effi
75,65,53,3445,29,11,20,21,42,v,1.9979463114771607,2.0160874190961726,1.9750863425147163,1.9725921899066776,2.243753323660855,1.9741428571428572,Bi-Effi
76,99,10,990,31,8,68,7,75,h,1.9960145485477119,1.9928940845039782,1.9753183324611896,1.9931545874785237,2.047523301111955,1.9746310217202712,GBest-Effi
77,48,21,1008,46,7,40,16,76,h,1.996444147362423,1.93395390070922,1.9175,1.9326294620412268,1.9640048783118202,1.94815668202765,A*-Effi
78,21,45,945,18,37,5,12,3,v,1.9936762586239312,2.0310276012373665,2.0002258829835906,1.9922076873385013,2.065259172045608,1.9909765191178805,GBest-Effi
79,53,81,4293,35,73,32,11,82,v,1.9992750340467933,2.442799591640167,2.019473341324062,2.005186425396906,2.5495834996234086,1.9886388345292456,GBest-Effi
80,14,67,938,12,19,9,66,49,h,1.9903369357914813,2.0034302076006845,1.9752392344497607,1.9806390977443609,2.023866417089049,1.9747811897344607,GBest-Effi
81,56,45,2520,36,19,47,10,62,v,1.9969077925835612,1.978391436992192,1.956257982120051,1.9641350210970465,2.116328016334834,1.95511583011583,GBest-Effi
82,87,25,2175,73,6,15,5,16,v,1.996614606843008,2.0411751041471216,1.9837073090249133,1.9849845894470641,2.208125440035739,2.0060886201175925,A*-Effi
83,13,75,975,10,31,6,73,79,h,1.9921436142024378,2.009792471312043,1.9771767227791437,1.9794464794464794,2.0207857659239457,1.9721468620003617,GBest-Effi
84,53,62,3286,26,48,15,4,51,v,1.9988037088946533,2.221130328151478,2.0189454916167993,2.0049167424594585,2.3989723311657754,1.9916671548239706,GBest-Effi
85,93,29,2697,58,22,90,27,62,v,1.99806106870229,1.9883464564639168,1.9791403605009643,1.9736977102084596,2.151951570599162,1.9703781512605043,GBest-Effi
86,62,43,2666,5,19,33,12,68,v,1.992865028417222,2.059561846029194,1.9613526570048307,1.971275180103703,2.264655252962349,1.963759213759214,A*-Effi
87,62,72,4464,53,31,58,18,44,h,1.9953325665634232,1.9434621710526314,1.9161184210526314,1.9425925925925926,2.0744422381080208,1.9161184210526314,A*-Effi
88,39,36,1404,32,7,3,19,12,v,1.9844332251472534,1.9993542157066173,1.98062968164794,1.9819907126993743,2.0770031141160294,1.9858299507407655,A*-Effi
89,98,25,2450,95,21,96,2,81,h,1.9985544191541558,1.9629465472919068,1.9567453115547488,1.9623563218390805,2.0864126323353984,1.9498847926267282,GBest-Effi
90,49,73,3577,5,72,46,39,48,h,1.9986301562533964,2.3232088827076307,2.0047704562824333,2.007537447627556,2.4441573647910797,1.987,GBest-Effi
91,34,37,1258,15,11,25,27,75,v,1.9921305617786347,2.009645425542446,1.9665247720767294,1.970004787146236,2.060349935688875,1.9644986449864499,GBest-Effi
92,58,34,1972,50,20,16,34,41,v,1.9980154032788704,2.026652820326656,1.9791228070175437,1.9815450284566454,2.147397718106166,1.9789743589743591,GBest-Effi
93,83,35,2905,7,14,53,6,33,v,1.9934574090155524,2.1238763703751546,2.0001458676669674,1.9843241855423062,2.311512086849642,1.9989527033421,Bi-Effi
94,11,90,990,11,75,2,57,29,v,1.992019272886553,1.989379445937793,1.9729249011857708,1.9729468599033817,2.005617392212848,1.9691413237924866,GBest-Effi
95,63,53,3339,38,18,8,22,15,h,1.9972316403928834,2.1265192357035962,2.0068173190806733,2.008429393696881,2.3681635245497197,1.9969832251702069,GBest-Effi
96,67,90,6030,52,5,33,67,44,h,1.9955300477586317,2.534581926976298,2.0166480271942104,1.988339416493714,2.676925409800462,1.994869318882381,Bi-Effi
97,79,67,5293,53,38,30,12,32,h,1.9987897676969073,2.2516083427986775,2.0005956598163976,1.9863979808629255,2.6006561006106104,1.9858146323663566,GBest-Effi
98,84,31,2604,83,8,5,5,38,h,1.9961320109439125,2.226035494549037,2.021350951098225,2.0084379483867014,2.3385036934722407,1.9946884377959586,GBest-Effi
99,90,47,4230,20,12,79,10,36,v,1.9954802259887006,2.1548012082393333,1.9883417631470182,1.9876597234377735,2.4662710830360446,1.9832516339869282,GBest-Effi
100,37,51,1887,33,5,6,40,32,v,1.9917133026572151,2.1306058716809115,2.017987366326448,1.9889455782312926,2.1828237071364587,1.9872106503122546,GBest-Effi
101,60,34,2040,43,10,4,20,7,h,1.9957237624330686,2.1156502961646972,2.0117473160926735,2.0098171960182967,2.2186090371846516,2.009390404532822,DFS-Effi
