,sizex,sizey,total_size,goalx,goaly,startx,starty,loop,pattern,DFS-Effi,BFS-Effi,A*-Effi,Bi-Effi,dijkstra-Effi,GBest-Effi,Best-Effi
0,51,100,5100,31,12,44,22,66,h,1.9975802664208748,1.9779595438213438,1.9555900621118014,1.9634680610514414,2.1332879427740856,1.9467418546365916,GBest-Effi
1,64,11,704,39,7,16,11,56,h,1.9896562648503089,1.9909113723842802,1.974325573400857,1.9742991982714506,1.9876909283823119,1.978091728091728,Bi-Effi
2,60,21,1260,25,16,51,16,59,h,1.9964369269221267,1.9948715105391654,1.9778280542986426,1.9795716259788114,2.0271146203849524,1.9795633961915142,A*-Effi
3,32,89,2848,20,81,4,32,65,h,1.9986974711112642,2.102131490025413,1.9825809111523398,2.000982493798328,2.1638091764595386,1.9837119846135354,A*-Effi
4,97,81,7857,24,53,44,5,62,h,1.9994017039471585,2.185352434425323,1.9982631441150622,1.9856684373616647,2.5271104019854054,1.9801731601731603,GBest-Effi
5,55,11,605,38,7,18,4,84,h,1.9917853231106244,1.9682680496792684,1.9658933996133665,1.9690921228304405,1.984941032739636,1.9632352941176472,GBest-Effi
6,100,21,2100,98,14,80,17,9,v,1.98732868757259,1.9720233150077726,1.965159091724448,1.9642579642579643,1.9946753899773793,1.9685560053981108,Bi-Effi
7,33,13,429,17,6,15,7,55,v,1.9802350427350428,1.8896360061278148,1.8666666666666667,1.8778409090909092,1.8902297329122657,1.8863636363636362,A*-Effi
8,30,49,1470,8,22,2,17,18,h,1.9856386999244142,1.9854705661792278,1.984363894811656,1.9857164024299898,2.0145817650810525,1.9842592592592592,GBest-Effi
9,11,61,671,7,26,6,33,80,h,1.9911914172783738,1.9186909581646425,1.9018003273322424,1.9159132007233275,1.9333938884584172,1.8873626373626373,GBest-Effi
10,73,54,3942,27,48,43,50,77,h,1.998642945732275,1.9813609638968104,1.962560588333612,1.966670997920998,2.0856125876037015,1.9577299412915852,GBest-Effi
11,40,44,1760,21,29,15,37,50,h,1.997234491615027,1.9633713186325292,1.9590656284760846,1.9632183908045977,2.0065417606868383,1.9451090781140041,GBest-Effi
12,63,13,819,28,5,11,8,59,h,1.989087384018834,1.9603033884948777,1.971628716906106,1.9612182296231375,1.975067929823966,1.9644986449864499,BFS-Effi
