,sizex,sizey,total_size,goalx,goaly,startx,starty,loop,pattern,DFS-Effi,BFS-Effi,A*-Effi,Bi-Effi,dijkstra-Effi,GBest-Effi,Best-Effi
0,42,12,504,20,11,17,1,42,v,1.9927815696180238,1.9569631199321451,1.948622934912513,1.9534559324385796,1.9626842317406394,1.9561774280470865,A*-Effi
1,11,52,572,5,26,10,14,77,h,1.9891399091567061,1.942218447263901,1.9163582005815951,1.9410331994375793,1.9499181646092434,1.9168213763857027,A*-Effi
2,20,39,780,6,30,7,11,79,v,1.9946759305181843,1.9829915685132065,1.9680623182648884,1.9695185022917916,1.9964406834062578,1.9655330948362857,GBest-Effi
3,32,65,2080,32,64,6,1,79,v,1.998556241618354,2.1104702066186274,2.007334608987746,1.9947341676171273,2.128586254036729,1.987072389856388,GBest-Effi
4,17,49,833,16,28,10,38,4,h,1.9854414148891104,1.9798341607490273,1.9790670598408755,1.9734823081529198,1.9895674902555096,1.9843609093814387,Bi-Effi
5,30,33,990,9,12,11,26,31,v,1.9934971381722826,1.995777720619069,1.9843998273735834,1.9823506546593967,2.0204617795097954,1.9841605545272636,Bi-Effi
6,36,79,2844,22,7,7,66,75,v,1.9956258611277693,2.2392102781835534,2.0117997900808895,1.9986852474156378,2.2534253075370705,1.9923627684609473,GBest-Effi
7,12,71,852,8,36,3,31,18,v,1.9788439843707697,1.9124955228586629,1.8904980916805894,1.9107738868065591,1.916851007610005,1.8874992325476692,GBest-Effi
8,90,73,6570,58,38,44,28,98,v,1.9992690246650167,1.9962148328884712,1.9448294724500752,1.9604911282665023,2.2888218251855648,1.9380804777182388,GBest-Effi
9,100,87,8700,86,35,87,72,91,v,1.9991117216047432,2.282147407982511,1.9992785768677668,1.9905208198057722,2.6115278793774808,1.9833968551641474,GBest-Effi
10,89,13,1157,28,12,2,2,50,h,1.9928766843197625,1.982986149535889,1.981975142263027,1.9797181695922155,2.0088584930153943,1.9770510722627737,GBest-Effi
11,88,61,5368,75,9,47,35,64,v,1.9973804937950579,2.4053917913479195,1.987040037115133,1.9849320417631153,2.5195941145326706,1.9820690339526212,GBest-Effi
12,52,97,5044,29,53,34,4,3,h,1.998942850564845,2.2323006358065762,2.0206624003651723,1.9967378099027875,2.4769777531381054,2.0092809830278475,Bi-Effi
13,82,11,902,15,5,44,8,70,h,1.9945476523424317,1.992556415885597,1.978082589924485,1.9772259896474913,2.0083770270401136,1.9758027453835658,GBest-Effi
14,52,86,4472,39,27,1,23,21,v,1.997344916018005,2.0569508414981517,1.993846220335607,1.9854036262777672,2.3263256019977616,1.9823711576325223,GBest-Effi
15,53,40,2120,30,39,34,20,3,v,1.9978072559623818,2.0985988153139497,2.0140341162867808,1.9994654892799193,2.155060345844325,2.0040133474593027,DFS-Effi
16,54,75,4050,52,22,47,74,31,v,1.998153763224057,2.2417171874116297,2.0236854488999816,2.001777763147138,2.3335712959571735,2.001195175862157,DFS-Effi
17,92,88,8096,47,42,45,55,99,v,1.999327825744716,1.9715006193665934,1.950559802182739,1.9538278143316146,2.2527973507451957,1.9381323128962253,GBest-Effi
18,24,45,1080,19,8,11,12,30,h,1.994820886046225,1.994304995674574,1.975580388713702,1.9744885284288953,2.0157652161799975,1.9804857769065674,Bi-Effi
19,36,29,1044,24,23,16,9,30,h,1.9935718089397536,1.9932678602748077,1.9746202129761246,1.9710737513344814,2.0141486042052374,1.9679223993813746,GBest-Effi
20,23,89,2047,14,20,16,77,5,h,1.9951600399125358,2.053829378199553,2.0004868861226823,1.9928221466007456,2.136273790444163,1.9936644820773677,Bi-Effi
21,78,15,1170,11,7,28,1,85,h,1.9929050603388883,1.973302473725247,1.9595786170887317,1.9650178687411004,2.028073453579916,1.946321763208776,GBest-Effi
22,27,83,2241,20,8,4,14,11,h,1.9973442161551023,2.0232548119119818,1.9974475610514633,1.990342343510381,2.135982814027921,1.9905432827472564,Bi-Effi
23,55,23,1265,34,12,18,14,59,v,1.9955130708656008,1.9532796479737522,1.9240647714152574,1.9443697230051757,2.002097466274382,1.9231606011479565,GBest-Effi
24,57,43,2451,16,29,49,9,86,v,1.997998376559718,2.084169894406508,1.984638162240151,1.9853988953632546,2.214629064067386,1.9799646727934321,GBest-Effi
25,51,33,1683,9,33,4,32,73,v,1.9977802106529372,1.8286412803354954,1.7673480836768232,1.8035881175934376,1.8342762521319953,1.7662945592754185,GBest-Effi
26,80,63,5040,42,15,51,8,44,h,1.998631912785136,1.9728462038325834,1.9622941169447468,1.9636314318548684,2.1139429058626895,1.955583176806504,GBest-Effi
27,41,55,2255,20,36,2,11,29,v,1.997737207632401,2.047014368138713,1.9998154733036833,1.992046487256862,2.132561695401454,1.9879070006938544,GBest-Effi
28,98,33,3234,57,30,38,32,20,v,1.9987051346886493,1.9669880423476434,1.9604322090809403,1.9624268379447174,2.0182831374755263,1.9494536728731664,GBest-Effi
29,22,90,1980,11,78,11,61,95,v,1.9982826614835778,1.9752241380379374,1.955062053790317,1.9615859417724728,2.023666783436698,1.946579004062832,GBest-Effi
30,45,64,2880,27,5,37,53,38,h,1.993331969137504,2.0481942371501822,1.9786969354126676,1.9852168153683434,2.1523358413630174,1.9764183032143132,GBest-Effi
