,sizex,sizey,total_size,goalx,goaly,startx,starty,loop,pattern,DFS-Effi,BFS-Effi,A*-Effi,Bi-Effi,dijkstra-Effi,GBest-Effi,Best-Effi
0,18,15,270,9,9,14,1,0,h,1.9852911133810007,1.9864448051948047,1.9862579281183927,1.9864455364455365,1.986484312148029,1.9852593733949664,GBest-Effi
1,18,16,288,15,7,7,5,0,h,1.9818847818847816,1.9864406949665527,1.9851433300993468,1.9802411940794864,1.9882568814125363,1.983962249499088,Bi-Effi
2,21,14,294,20,5,13,10,0,h,1.9762536162005784,1.978680449002665,1.9782874084408788,1.972376714868372,1.978680449002665,1.9762536162005784,Bi-Effi
3,27,15,405,7,11,9,7,0,h,1.9744212400841832,1.9821513271464608,1.9809625165546088,1.9782986111111112,1.985091103737767,1.97945363859137,DFS-Effi
4,14,50,700,8,15,3,47,0,h,1.9842857142857144,1.9799054964730416,1.979730200870407,1.97549882629108,1.983924268692396,1.987277236049184,Bi-Effi
5,66,11,726,15,8,57,4,0,h,1.9951929229142904,2.008632791241054,2.0002889335452245,1.9965250889830493,2.0153127231471,1.998396472332817,DFS-Effi
6,50,15,750,10,13,46,10,0,h,1.995343979307325,2.0069742933844195,2.00185431860666,1.997018478728984,2.016024730241268,1.9994393763839704,DFS-Effi
7,16,47,752,13,41,8,33,0,h,1.9773425499231951,1.983784893267652,1.9834223408989768,1.980422794117647,1.983784893267652,1.98396300669028,DFS-Effi
8,21,36,756,10,27,3,15,0,h,1.991430454845089,1.9934034452862903,2.0081140952312846,1.9932115476018264,2.0082723218848413,1.9933262980985325,DFS-Effi
9,76,10,760,64,5,73,7,0,h,1.96737400530504,1.9778782896557687,1.977450924082496,1.9746474861130887,1.985376029214268,1.9686741136474013,DFS-Effi
10,11,72,792,8,43,6,38,0,h,1.991331746186776,1.993242112787248,1.991843376742852,1.9881880781052508,2.0029662223040026,1.99122606995435,Bi-Effi
11,40,24,960,5,19,36,4,0,h,1.9949627694462824,2.020913520288278,2.0055454264182253,1.9973502713569504,2.0306143410072184,2.000272835803711,DFS-Effi
12,36,27,972,15,7,33,10,0,h,1.9948959742084929,2.0107924567493867,2.0030160307755085,1.997216770720485,2.0282233408860737,1.9993004396308112,DFS-Effi
13,11,95,1045,11,41,4,74,0,h,1.9971143245006784,2.0243227522108507,1.9971455289941256,1.9971285434995112,2.025192926440166,1.9970841368542689,GBest-Effi
14,25,43,1075,9,14,7,3,0,h,1.9952154133121296,2.0127704318562665,2.001047169235214,1.996919332511052,2.0359678493481583,1.998040851865421,DFS-Effi
15,80,14,1120,73,8,50,12,0,h,1.993349940888364,2.0092541946742744,1.994792653803874,1.9940269885805453,2.03798564001772,1.9933567758780424,DFS-Effi
16,31,41,1271,14,37,11,33,0,h,1.9954916201541613,2.0031917797240464,1.9980979876344984,1.9948652287273485,2.0354937008873435,1.9955820699887408,Bi-Effi
17,37,41,1517,8,23,23,14,0,h,1.9972977958935587,2.054649201534253,2.010331380918314,2.0001222472037,2.076514934145191,2.0037999888436726,DFS-Effi
18,22,79,1738,9,44,13,37,0,h,1.9957251259616235,2.043490166404755,2.009124620721701,1.997298555511879,2.0901435662257404,2.0058596134059763,DFS-Effi
19,25,71,1775,18,24,12,17,0,h,1.9963209863474145,2.0557213150891505,2.007033139880249,1.996175265951874,2.0949056094922027,1.9979964353924693,Bi-Effi
20,41,50,2050,10,42,21,28,0,h,1.9959865049479544,2.0385625750267846,2.010092676477897,1.9949189010261503,2.15889638467609,2.0101439591826806,Bi-Effi
21,61,34,2074,58,33,49,21,0,h,1.9943108974358967,2.0254870231496467,2.0035769825394385,1.9973750115874265,2.0978720086630296,1.9947518577494687,DFS-Effi
22,58,36,2088,36,12,41,28,0,h,1.993106043684037,2.0250564564859617,2.002139697016473,1.9950451059738368,2.1061313743914987,1.999728085843968,DFS-Effi
23,30,70,2100,17,33,25,69,0,h,1.9957739195854616,2.006861474533464,2.001104623987118,1.9943285168723763,2.070270384673228,1.9960776023976428,Bi-Effi
24,39,58,2262,28,28,26,56,0,h,1.9983703059627187,2.1175912809892403,2.027671602946128,1.9985353655632287,2.1923767934162486,2.0133381035619955,DFS-Effi
25,74,31,2294,43,7,47,17,0,h,1.9942999014721816,2.012741181304313,1.9995948395767809,1.992742233714989,2.1002013080394053,1.9995244887190933,Bi-Effi
26,74,31,2294,71,24,17,11,0,h,1.997950658012694,2.087745045973472,2.014630797615629,1.9979281106470748,2.140970517213779,1.9979023704950167,GBest-Effi
27,86,27,2322,38,8,45,4,0,h,1.998168795973674,2.073623468204972,2.0223177352958768,2.0025869011292654,2.1549569364009464,2.0135051963353088,DFS-Effi
28,43,55,2365,15,9,6,47,0,h,1.9983188540087733,2.1029550885410533,2.030951721634753,1.998429505294168,2.174730107151809,2.0088140546402498,DFS-Effi
29,96,26,2496,29,7,74,2,0,h,1.997833402928666,2.0835487830599213,2.012984738436897,1.999197325261588,2.159751977562011,2.002157110769058,DFS-Effi
30,27,94,2538,21,61,1,10,0,h,1.9986878132874424,2.1792857263705203,2.037207279987066,2.0052830762155724,2.205205244559985,2.013784563130515,DFS-Effi
31,51,53,2703,24,26,41,16,0,h,1.9977428292563328,2.084329555285027,2.0147291784471286,2.0014785713057472,2.190451026218179,2.007128671184614,DFS-Effi
32,57,49,2793,51,31,52,46,0,h,1.987641723356009,1.991584375685758,2.00337432634863,1.9893521926595856,2.0696817188247523,1.992225461613217,DFS-Effi
33,43,66,2838,12,40,25,11,0,h,1.998655536060041,2.120647634320018,2.0096929817051006,2.011331629237896,2.178373179849115,2.0151430490176767,DFS-Effi
34,56,53,2968,8,16,7,20,0,h,1.997835709319288,2.0759894621217656,2.006922718373302,1.9981020558531,2.1863090111084453,1.9980422592328453,DFS-Effi
35,36,87,3132,5,35,1,49,0,h,1.998795179677028,2.211841407600305,2.021192795550324,2.003744728600067,2.241753175287695,2.017639848477147,DFS-Effi
36,77,41,3157,65,28,49,35,0,h,1.9964197703073416,2.0410791602681853,2.0108214168160274,1.9967093047707247,2.180786572273503,1.9960322300315592,GBest-Effi
37,49,66,3234,5,49,32,38,0,h,1.998721400672883,2.215370260441793,2.0272309145162115,2.0035703565037486,2.274359475518078,2.020424001298446,DFS-Effi
38,34,97,3298,8,34,24,94,0,h,1.9982626517031488,2.172018730153108,2.02086392806436,2.0010518390819496,2.242864569005232,2.010706316036727,DFS-Effi
39,50,66,3300,36,64,13,58,0,h,1.998664187228003,2.131623617287188,2.019693742293545,2.004541435506381,2.25563514306021,2.0098209924312527,DFS-Effi
40,67,50,3350,20,12,64,21,0,h,1.997958858862051,2.172363133378626,2.0130026876131395,2.001152336995401,2.272334323851038,2.031887602934983,DFS-Effi
41,56,61,3416,44,30,23,26,0,h,1.99726773432834,2.0840472324530506,2.015274126302386,2.0001515051750123,2.2269865450623016,2.0005228728795714,DFS-Effi
42,61,57,3477,8,36,56,11,0,h,1.9988412962248487,2.259676134477963,2.023787698344002,2.00603935916822,2.3260996447426647,2.019818867267802,DFS-Effi
43,42,83,3486,15,77,26,17,0,h,1.99877175472522,2.1681978591603324,2.024090497245979,2.002254538170445,2.2497329657946192,1.9986556009744416,GBest-Effi
44,70,52,3640,10,10,50,29,0,h,1.9982109497596328,2.1973660945195843,2.023212685281141,2.001205718774336,2.292292576038143,2.009918695069066,DFS-Effi
45,65,57,3705,8,16,5,17,0,h,1.997235964859372,2.026037930274688,1.9966297215329472,1.9960209930767512,2.1600090845004614,2.011441350787857,Bi-Effi
46,72,57,4104,31,36,64,37,0,h,1.998938335362546,2.295671534910452,2.036024364889056,2.006854965039589,2.3626122916228134,2.0226670700077136,DFS-Effi
47,70,65,4550,6,17,56,40,0,h,1.9991312521466955,2.263745814041916,2.0285621669880247,1.999249489895348,2.36503095290421,2.0140905636567115,DFS-Effi
48,67,68,4556,67,9,45,31,0,h,1.998024375336925,2.090637801193482,2.012631523695372,1.9974341112272147,2.3176283139232234,1.997464476845899,Bi-Effi
49,88,52,4576,60,41,55,4,0,h,1.995296780881625,2.037503743514653,2.0090204541526777,1.993204711954712,2.3465972179620214,1.9922689418205115,GBest-Effi
50,93,52,4836,91,18,16,42,0,h,1.9988824305667656,2.2894418902248628,2.0264053179956862,1.9989896866050267,2.4018035827389577,2.013716032502487,DFS-Effi
51,58,86,4988,11,15,20,43,0,h,1.9984965138198088,2.171742767334475,2.0208085734973884,1.998142223063344,2.415020410939555,2.011890599385148,Bi-Effi
52,64,89,5696,5,69,39,63,0,h,1.998982680974964,2.360437905998329,2.0268331393861025,1.998931012288383,2.4683111072499084,2.014824557427541,Bi-Effi
53,73,83,6059,73,38,47,70,0,h,1.9987572447102464,2.309557857734917,2.0336449392432536,2.003568885857134,2.5251846435266465,2.010435696411858,DFS-Effi
54,82,76,6232,25,72,39,67,0,h,1.9986128078112344,2.386121639345846,2.041750486458411,1.9985599643582628,2.677110563091123,2.013266387859959,Bi-Effi
55,91,71,6461,16,55,88,67,0,h,1.999417915148621,2.3769240292678235,2.0285934636653646,1.9994394811428289,2.538931545975096,2.0233682056820124,DFS-Effi
56,69,97,6693,25,8,56,7,0,h,1.999009154804698,2.509287588816353,2.0559062317642693,2.0156055407753657,2.72605698116338,2.0281868600907216,DFS-Effi
57,76,93,7068,30,33,69,91,0,h,1.9990370805954785,2.2526873349481447,2.0283404012965605,2.013943369317823,2.528729022479007,2.0139995687186856,DFS-Effi
58,77,92,7084,67,58,36,91,0,h,1.9991437797484672,2.422869527360413,2.040372977416518,2.00864346552882,2.603919884980353,2.017993589823362,DFS-Effi
59,82,87,7134,35,84,44,56,0,h,1.9981847516036968,2.152706682674873,2.0221993847955604,2.0029815411722858,2.57099467650925,2.005518301354929,DFS-Effi
60,74,97,7178,63,72,54,38,0,h,1.997967550506308,2.0713691560646,2.0168916351030672,1.999341209152789,2.41244452002784,2.006119833835961,DFS-Effi
61,84,88,7392,78,72,24,49,0,h,1.999356185251091,2.557082368568855,2.050739671522859,2.0091453091356835,2.687705104637688,2.021141542860258,DFS-Effi
62,95,80,7600,27,55,69,35,0,h,1.9992977938608485,2.475943859916959,2.049772640981555,2.013494281917155,2.641334316694256,2.026789581257728,DFS-Effi
63,86,89,7654,7,28,28,7,0,h,1.999125456812912,2.6310018727615594,2.082473690549253,2.001363197828824,2.795744130175974,2.028137501119623,DFS-Effi
64,79,100,7900,30,38,14,13,0,h,1.99906376499629,2.207784652599124,2.01379292911684,2.013623794474785,2.558419364424364,2.0164524628869067,DFS-Effi
65,97,82,7954,66,48,71,20,0,h,1.998743873808732,2.185496449064233,2.020515293459149,2.003501449816969,2.620536281921678,2.0194773549728247,DFS-Effi
66,99,84,8316,73,43,13,74,0,h,1.9994658342242189,2.5496069891193613,2.0566072213648816,2.014635904234517,2.723062026669373,2.0354504272206286,DFS-Effi
67,89,100,8900,41,27,83,97,0,h,1.999348046765924,2.364339325185826,2.035880225769249,2.006637228557513,2.6761379201493467,2.0289824461496964,DFS-Effi
68,10,12,120,10,8,4,2,1,h,1.975703324808184,1.9771739130434784,1.982219017242861,1.9768647281921616,1.9787174329735489,1.9764163372859027,DFS-Effi
69,25,12,300,16,11,2,3,1,h,1.9900891732092665,1.990952380952381,1.99089588377724,1.9907080735149325,2.005292991123912,1.9922388840414005,DFS-Effi
70,34,16,544,33,13,11,3,1,h,1.991025641025641,2.007169795955297,1.9923814178850727,1.9916821794758144,2.0071591505629547,1.9907660530951947,GBest-Effi
71,15,38,570,10,28,8,26,1,h,1.9857077229340003,2.0036455263425226,1.9922098273620068,1.9892661054331529,1.9994146480175496,1.992121886082252,DFS-Effi
72,45,15,675,24,8,42,2,1,h,1.9886519178736275,1.9891002005879563,1.989530192908417,1.984702797202797,1.9983920670362,1.991371131166914,Bi-Effi
73,14,52,728,9,9,10,47,1,h,1.994387882092188,2.008188156658301,1.9932640880551893,1.992694004531018,2.008148816765168,1.9922305764411024,GBest-Effi
74,51,17,867,51,9,25,10,1,h,1.9939600056801807,2.030617605198946,2.0096673781489285,1.9954573437244816,2.047925448160876,1.998848834602204,DFS-Effi
75,64,15,960,32,12,43,8,1,h,1.9963826179858788,2.0126415617968654,1.9960859042874075,1.9963323708014329,2.023990166850677,1.995949937810945,GBest-Effi
76,38,26,988,21,9,29,8,1,h,1.992358570222348,1.994101365481609,2.008828940869412,1.9938437917518617,2.0232262037097444,1.993483504512916,DFS-Effi
77,11,92,1012,6,37,2,12,1,h,1.9928429756015964,1.9939475078793965,1.9934078128232613,2.0088730185058434,2.0204407010492407,1.9952153072657308,DFS-Effi
78,14,74,1036,8,19,9,3,1,h,1.994731794559428,2.012681654339758,1.994353522002799,1.9940787764042025,2.023627130977204,1.9942316308243728,Bi-Effi
79,31,34,1054,21,27,19,33,1,h,1.959115561118064,1.9695490923287136,1.9683067375886525,1.9644607843137247,1.96946414499606,1.960866261398176,DFS-Effi
80,15,73,1095,9,21,12,64,1,h,1.9937787358893264,2.0158510295331693,2.0024394061314936,1.9954117958939896,2.033388403659245,1.9984002333815205,DFS-Effi
81,55,20,1100,28,16,8,3,1,h,1.995596554601065,2.0279465247184865,2.001570504336202,1.9960110304869287,2.044391502680412,1.996486574506925,DFS-Effi
82,44,29,1276,26,5,15,26,1,h,1.996284664216505,2.0276779898015698,2.004923784345775,1.9989331734230031,2.0514250616221057,2.0027026092172675,DFS-Effi
83,56,23,1288,12,21,27,19,1,h,1.9939717117875475,2.021851892226848,2.000927831155708,1.9932001550012823,2.056395344869625,1.9932962151679352,Bi-Effi
84,52,25,1300,38,22,39,3,1,h,1.9803622525309743,1.975318121983326,1.9716981132075475,1.9754934575293857,1.9901587474878428,1.9704937775993576,GBest-Effi
85,38,37,1406,27,6,19,35,1,h,1.996961020695197,2.0306739129230595,2.0071551723119394,1.9971044874130897,2.0583794605614254,2.002044191277982,DFS-Effi
86,15,97,1455,8,43,15,12,1,h,1.9945926591694616,2.010875220473129,1.9960484613185825,1.9951510587805767,2.0527129702311107,1.994933702250776,DFS-Effi
87,42,35,1470,13,5,7,27,1,h,1.9929066634315464,2.0094313622996007,1.9970773307278424,1.9907699275596469,2.0494053085573047,1.9964467808025568,Bi-Effi
88,51,29,1479,24,28,22,18,1,h,1.9973183624964144,2.0379520879458464,2.010999642496437,1.9994732505451955,2.064574299510566,2.0005714011957068,DFS-Effi
89,91,17,1547,34,7,4,9,1,h,1.994593253968254,1.9951398290742928,1.9951261911236955,1.9952540397455647,2.036445278014366,1.9949096880131365,DFS-Effi
90,47,35,1645,46,33,35,18,1,h,1.995659801739758,2.0052958092332025,1.996911490100336,1.992560770768624,2.0499233322981083,1.994223536092079,Bi-Effi
91,59,28,1652,25,19,32,24,1,h,1.9947368036233093,2.0264336504211244,2.0043235018933885,1.9954684689639888,2.081601755432297,1.9992894787861029,DFS-Effi
92,68,27,1836,58,10,54,19,1,h,1.985998802036538,1.984920634920635,1.992797123945648,1.980105212816834,2.0543750383851904,1.985407066052228,Bi-Effi
93,24,78,1872,7,45,19,33,1,h,1.996050259077192,2.0115826590789587,2.011337465324366,1.994266897746967,2.0719911028548674,1.9951857975538936,Bi-Effi
94,36,53,1908,33,34,10,20,1,h,1.9971111087688287,2.087985266590402,2.017606563827531,1.9990939211019527,2.127977230860594,2.003885305016107,DFS-Effi
95,36,55,1980,10,26,6,46,1,h,1.995126082329488,2.023539173817773,2.0048682264469435,1.9931018238104847,2.086460479866926,1.995570634607457,Bi-Effi
96,43,47,2021,32,18,37,6,1,h,1.9973004488327244,2.04532171246802,2.0095051443920458,1.9996741839341288,2.1058626545998966,2.0034999514248653,DFS-Effi
97,34,64,2176,18,48,31,63,1,h,1.998052637501896,2.044972772601988,2.010624996782383,1.9974191506929235,2.1239917587382,2.0071842637571784,Bi-Effi
